Rank|Title|Year|Lifetime Gross|Studio
134|Austin Powers in Goldmember|2002|213307889|NL
135|300|2007|210614939|WB
136|Back to the Future|1985|210609762|Uni.
137|Fast Five|2011|209837675|Uni.
138|Mission: Impossible - Ghost Protocol|2011|209397903|Par.
139|Wedding Crashers|2005|209255921|NL
140|Sherlock Holmes|2009|209028679|WB
141|Dawn of the Planet of the Apes|2014|208545589|Fox
142|Batman Begins|2005|206852432|WB
143|Charlie and the Chocolate Factory|2005|206459076|WB
144|Ratatouille|2007|206445654|BV
145|Thor: The Dark World|2013|206362140|BV
146|Austin Powers: The Spy Who Shagged Me|1999|206040086|NL
147|Terminator 2: Judgment Day|1991|204843345|TriS
148|The Amazing Spider-Man 2|2014|202853933|Sony
149|World War Z|2013|202359711|Par.
150|The Mummy Returns|2001|202019785|Uni.
151|Armageddon|1998|201578182|BV
152|Tangled|2010|200821936|BV
153|Godzilla (2014)|2014|200676069|WB
154|Superman Returns|2006|200081192|WB
155|Gone with the Wind|1939|198676459|MGM
156|Pearl Harbor|2001|198542554|BV
157|Monsters Vs. Aliens|2009|198351526|P/DW
158|Happy Feet|2006|198000317|WB
159|Indiana Jones and the Last Crusade|1989|197171806|Par.
160|Ice Age: Dawn of the Dinosaurs|2009|196573705|Fox
161|Ice Age: The Meltdown|2006|195330621|Fox
162|Madagascar|2005|193595521|DW
163|Twilight|2008|192769854|Sum.
164|Toy Story|1995|191796233|BV
165|22 Jump Street|2014|191719337|Sony
166|Cars 2|2011|191452396|BV
167|Teenage Mutant Ninja Turtles (2014)|2014|191204754|Par.
168|Men in Black II|2002|190418803|Sony
169|Wreck-It Ralph|2012|189422889|BV
170|Grease|1978|188755690|Par.
171|Interstellar|2014|188020017|Par.
172|Gladiator|2000|187705427|DW
173|The Croods|2013|187168425|Fox
174|Sherlock Holmes: A Game of Shadows|2011|186848418|WB
175|The Day After Tomorrow|2004|186740799|Fox
176|Mr. & Mrs. Smith|2005|186336279|Fox
177|Snow White and the Seven Dwarfs|1937|184925486|Dis.
178|Dances with Wolves|1990|184208848|Orion
179|Batman Forever|1995|184031112|WB
180|The Fugitive|1993|183875760|WB
181|Ocean's Eleven|2001|183417150|WB
182|The Polar Express|2004|183373735|WB
183|The Simpsons Movie|2007|183135014|Fox
184|What Women Want|2000|182811707|Par.
185|The Perfect Storm|2000|182618434|WB
186|Lincoln|2012|182207973|BV
187|Liar Liar|1997|181410615|Uni.
188|Jurassic Park III|2001|181171875|Uni.
189|Thor|2011|181030624|Par.
190|Mission: Impossible|1996|180981856|Par.
191|Planet of the Apes (2001)|2001|180011740|Fox
192|Madagascar: Escape 2 Africa|2008|180010950|P/DW
193|X-Men Origins: Wolverine|2009|179883157|Fox
194|Indiana Jones and the Temple of Doom|1984|179870271|Par.
195|Top Gun|1986|179800601|Par.
196|Hitch|2005|179495555|Sony
197|MIB 3|2012|179020854|Sony
198|Pretty Woman|1990|178406268|BV
199|Night at the Museum: Battle of the Smithsonian|2009|177243721|Fox
200|Tootsie|1982|177200000|Col.
201|How to Train Your Dragon 2|2014|177002924|Fox
202|Rise of the Planet of the Apes|2011|176760185|Fox
203|Captain America: The First Avenger|2011|176654505|Par.
204|The Karate Kid|2010|176591618|Sony
205|There's Something About Mary|1998|176484651|Fox
206|Ice Age|2002|176387405|Fox
207|The Bourne Supremacy|2004|176241941|Uni.
208|Crocodile Dundee|1986|174803506|Par.
209|Apollo 13|1995|173837933|Uni.
210|Home Alone 2: Lost in New York|1992|173585516|Fox
211|Elf|2003|173398518|NL
212|National Treasure|2004|173008894|BV
213|Air Force One|1997|172956409|Sony
214|Rain Man|1988|172825435|MGM
215|Tron Legacy|2010|172062763|BV
216|The Matrix|1999|171479930|WB
217|True Grit|2010|171243005|Par.
218|Tarzan|1999|171091819|BV
219|A Beautiful Mind|2001|170742341|Uni.
220|Chicago|2002|170687518|Mira.
221|The Help|2011|169708112|BV
222|Bridesmaids|2011|169106725|Uni.
223|Quantum of Solace|2008|168368427|Sony
224|Wild Hogs|2007|168273550|BV
225|Three Men and a Baby|1987|167780960|BV
226|Gone Girl|2014|167767189|Fox
227|Casino Royale|2006|167445960|Sony
228|Meet the Parents|2000|166244045|Uni.
229|2012|2009|166112167|Sony
230|Robin Hood: Prince of Thieves|1991|165493908|WB
231|Kung Fu Panda 2|2011|165249063|P/DW
232|Hannibal|2001|165092268|MGM
233|Catch Me If You Can|2002|164615351|DW
234|The Proposal|2009|163958031|BV
235|Fifty Shades of Grey|2015|163839685|Uni.
236|The Pursuit of Happyness|2006|163566459|Sony
237|Big Daddy|1999|163479795|Sony
238|Clash of the Titans (2010)|2010|163214888|WB
239|Batman Returns|1992|162831698|WB
240|Django Unchained|2012|162805434|Wein.
241|A Bug's Life|1998|162798565|BV
242|Grown Ups|2010|162001186|Sony
243|The Waterboy|1998|161491646|BV
244|Ice Age: Continental Drift|2012|161321843|Fox
245|Die Another Day|2002|160942139|MGM
246|Shark Tale|2004|160861908|DW
247|The Heat|2013|159582188|Fox
248|The SpongeBob Movie: Sponge Out of Water|2015|158838829|Par.
249|The Sound of Music|1965|158671368|Fox
250|The Firm|1993|158348367|Par.
251|The Longest Yard|2005|158119460|Par.
252|X-Men|2000|157299717|Fox
253|Scary Movie|2000|157019771|Mira.
254|Fatal Attraction|1987|156645693|Par.
255|Who Framed Roger Rabbit|1988|156452370|BV
256|The Sting|1973|156000000|Uni.
