Rank|Title|Year|Lifetime Gross|Studio
624|Panic Room|2002|96397334|Sony
625|Schindler's List|1993|96065768|Uni.
626|Dead Poets Society|1989|95860116|BV
627|Zero Dark Thirty|2012|95720716|Sony
628|Norbit|2007|95673607|P/DW
629|Cold Mountain|2003|95636509|Mira.
630|Arthur|1981|95461682|WB
631|Sex and the City 2|2010|95347692|WB (NL)
632|Michael|1996|95318203|NL
633|The Princess Diaries 2: Royal Engagement|2004|95170481|BV
634|42|2013|95020213|WB
635|Unbreakable|2000|95011339|BV
636|The Book of Eli|2010|94835059|WB
637|10,000 B.C.|2008|94784201|WB
638|Beverly Hills Chihuahua|2008|94514402|BV
639|Saturday Night Fever|1977|94213184|Par.
640|Julie & Julia|2009|94125426|Sony
641|The Mask of Zorro|1998|94095523|Sony
642|Maid in Manhattan|2002|94011225|SonR
643|He's Just Not That Into You|2009|93953653|WB (NL)
644|Master and Commander: The Far Side of the World|2003|93927920|Fox
645|Flight|2012|93772375|Par.
646|The Fighter|2010|93617009|Par.
647|America's Sweethearts|2001|93607673|SonR
648|Lady and the Tramp|1955|93602326|Dis.
649|The Bucket List|2007|93466502|WB
650|Cats & Dogs|2001|93385515|WB
651|Two Weeks Notice|2002|93354851|WB
652|Red Dragon|2002|93149898|Uni.
653|Elysium|2013|93050117|TriS
654|Flubber|1997|92977226|BV
655|Flashdance|1983|92921203|Par.
656|When Harry Met Sally...|1989|92823546|Col.
657|The Town|2010|92186262|WB
658|Non-Stop|2014|92168600|Uni.
659|Space Station 3-D (IMAX)|2002|92165012|Imax
660|The Client|1994|92115211|WB
661|Star Trek: First Contact|1996|92027888|Par.
662|Think Like a Man|2012|91547205|SGem
663|Kindergarten Cop|1990|91457688|Uni.
664|Heaven is for Real|2014|91443253|TriS
665|The Haunting|1999|91411151|DW
666|Crimson Tide|1995|91387195|BV
667|Back to School|1986|91258000|Orion
668|Stepmom|1998|91137662|Sony
669|Save the Last Dance|2001|91057006|Par.
670|The Scorpion King|2002|91047077|Uni.
671|The Karate Kid|1984|90815558|Col.
672|Prince of Persia: The Sands of Time|2010|90759676|BV
673|Antz|1998|90757863|DW
674|Scary Movie 4|2006|90710620|W/Dim.
675|The Game Plan|2007|90648202|BV
676|Me, Myself and Irene|2000|90570999|Fox
677|High School Musical 3: Senior Year|2008|90559416|BV
678|Tyler Perry's Madea Goes to Jail|2009|90508336|LGF
679|Space Cowboys|2000|90464773|WB
680|Space Jam|1996|90418342|WB
681|Trading Places|1983|90404800|Par.
682|Red|2010|90380162|Sum.
683|Planes|2013|90288712|BV
684|Legally Blonde 2: Red, White and Blonde|2003|90186328|MGM
685|The Imitation Game|2014|90147835|Wein.
686|Mystic River|2003|90135191|WB
687|Flightplan|2005|89707299|BV
688|Father of the Bride|1991|89325780|BV
689|The Emperor's New Groove|2000|89302687|BV
690|The Lone Ranger|2013|89302115|BV
691|Scream 3|2000|89143175|Dim.
692|Oblivion|2013|89107235|Uni.
693|The Ugly Truth|2009|88915214|Sony
694|Taken 3|2015|88817100|Fox
695|Percy Jackson & The Olympians: The Lightning Thief|2010|88768303|Fox
696|Failure to Launch|2006|88715192|Par.
697|The Muppets|2011|88631237|BV
698|Inside Man|2006|88513495|Uni.
699|Waterworld|1995|88246220|Uni.
700|Starsky and Hutch|2004|88237754|WB
701|Along Came Polly|2004|88097164|Uni.
702|The Hand That Rocks the Cradle|1992|88036683|BV
703|Back to the Future Part III|1990|87727583|Uni.
704|Entrapment|1999|87704396|Fox
705|Peter Pan|1953|87404651|Dis.
706|Pineapple Express|2008|87341380|Sony
707|Everest (IMAX)|1998|87178599|MFF
708|Out of Africa|1985|87071205|Uni.
709|Saw II|2005|87039965|Lions
710|The Naked Gun 2 1/2: The Smell of Fear|1991|86930411|Par.
711|The Campaign|2012|86907746|WB
712|The War of the Roses|1989|86888546|Fox
713|The Amityville Horror|1979|86432000|AIP
714|Presumed Innocent|1990|86303188|WB
715|Young Frankenstein|1974|86273333|Fox
716|Dumb and Dumber To|2014|86208010|Uni.
717|Mean Girls|2004|86058055|Par.
718|Annie (2014)|2014|85911262|Sony
719|Spy Kids 2: The Island of Lost Dreams|2002|85846429|Dim.
720|Fury (2014)|2014|85817906|Sony
721|Pokemon: The First Movie|1999|85744662|WB
722|Real Steel|2011|85468508|BV
723|The SpongeBob SquarePants Movie|2004|85417988|Par.
724|Brother Bear|2003|85336277|BV
725|Stripes|1981|85297000|Col.
726|Anchorman: The Legend of Ron Burgundy|2004|85288303|DW
727|Every Which Way But Loose|1978|85196485|WB
728|Rocky II|1979|85182160|UA
729|Aliens|1986|85160248|Fox
730|Open Season|2006|85105259|Sony
731|The Expendables 2|2012|85028192|LGF
732|Dangerous Minds|1995|84919401|BV
733|Paranormal Activity 2|2010|84752907|Par.
734|The Poseidon Adventure|1972|84563118|Fox
735|Tammy|2014|84525432|WB
736|The Santa Clause 3: The Escape Clause|2006|84500122|BV
737|Crazy, Stupid, Love.|2011|84351197|WB
738|Annabelle|2014|84273813|WB (NL)
739|Pinocchio|1940|84254167|Dis.
740|Scooby-Doo 2: Monsters Unleashed|2004|84216833|WB
741|Atlantis: The Lost Empire|2001|84056472|BV
742|Cliffhanger|1993|84049211|TriS
743|The Other Woman (2014)|2014|83911193|Fox
744|The X-Files|1998|83898313|Fox
745|Up in the Air|2009|83823381|Par.
746|Steel Magnolias|1989|83759091|TriS
747|Wrath of the Titans|2012|83670083|WB
748|Insidious Chapter 2|2013|83586447|FD
749|Under Siege|1992|83563139|WB
750|Battle: Los Angeles|2011|83552429|Sony
751|Immortals|2011|83504017|Rela.
752|Apocalypse Now|1979|83471511|MGM
753|Airplane!|1980|83453539|Par.
754|Patriot Games|1992|83351587|Par.
755|Saving Mr. Banks|2013|83301580|BV
756|Penguins of Madagascar|2014|83156328|Fox
757|Valkyrie|2008|83077833|UA
758|Brokeback Mountain|2005|83043761|Focus
759|Turbo|2013|83028128|Fox
760|Disclosure|1994|83015089|WB
761|Die Hard|1988|83008852|Fox
762|Charlotte's Web (2006)|2006|82985708|Par.
763|Monster-in-Law|2005|82931301|NL
764|Are We There Yet?|2005|82674398|SonR
765|Days of Thunder|1990|82670733|Par.
766|Freddy Vs. Jason|2003|82622655|NL
767|The Descendants|2011|82584160|FoxS
768|Cheaper by the Dozen 2|2005|82571173|Fox
769|Mr. Holland's Opus|1995|82569971|BV
770|Bram Stoker's Dracula|1992|82522790|Col.
771|Fried Green Tomatoes|1991|82418501|Uni.
772|Let's Be Cops|2014|82390774|Fox
773|Blade II|2002|82348319|NL
774|Beowulf|2007|82280579|Par.
775|Bridge to Terabithia|2007|82272442|BV
776|Star Trek: The Motion Picture|1979|82258456|Par.
777|The Pink Panther (2006)|2006|82226474|Sony
778|Jaws 2|1978|81766007|Uni.
779|Heaven Can Wait (1978)|1978|81640278|Par.
780|Eight Below|2006|81612565|BV
781|M.A.S.H.|1970|81600000|Fox
782|Unstoppable|2010|81562942|Fox
783|Payback|1999|81526121|Par.
784|The Talented Mr. Ripley|1999|81298265|Par.
785|School of Rock|2003|81261177|Par.
786|Police Academy|1984|81198894|WB
787|Snow Dogs|2002|81172560|BV
788|21|2008|81159365|Sony
789|While You Were Sleeping|1995|81057016|BV
790|Congo|1995|81022101|Par.
791|The Notebook|2004|81001787|NL
792|Jimmy Neutron: Boy Genius|2001|80936232|Par.
793|Alien|1979|80931801|Fox
794|Another 48 HRS.|1990|80818974|Par.
795|Moonstruck|1987|80640528|MGM
796|Eat Pray Love|2010|80574010|Sony
797|The Texas Chainsaw Massacre|2003|80571655|NL
798|Zookeeper|2011|80360843|Sony
799|Alien Vs. Predator|2004|80282231|Fox
800|What Happens in Vegas|2008|80277646|Fox
801|The Dukes of Hazzard|2005|80270227|WB
802|The Wedding Singer|1998|80245725|NL
803|Saw III|2006|80238724|LGF
804|Disturbia|2007|80209692|P/DW
805|Nacho Libre|2006|80197993|Par.
806|Jumper|2008|80172128|Fox
807|Jack Reacher|2012|80070736|Par.
808|Cloverfield|2008|80048433|Par.
809|Footloose|1984|80035402|Par.
810|Dear John|2010|80014842|SGem
811|A Star Is Born (1976)|1976|80000000|WB
812|Knowing|2009|79957634|Sum.
813|War Horse|2011|79884879|BV
814|The Golden Child|1986|79817937|Par.
815|Dark Shadows|2012|79727149|WB
816|Earthquake|1974|79666653|Uni.
817|Hannah Montana The Movie|2009|79576189|BV
818|WarGames|1983|79567667|MGM
819|The Day the Earth Stood Still (2008)|2008|79366978|Fox
820|Limitless|2011|79249455|Rela.
821|Cape Fear|1991|79091969|Uni.
822|Star Trek II: The Wrath of Khan|1982|78912963|Par.
823|48 HRS.|1982|78868508|Par.
824|The Naked Gun: From the Files of Police Squad!|1988|78756177|Par.
825|City of Angels|1998|78685114|WB
826|The English Patient|1996|78676425|Mira.
827|Teenage Mutant Ninja Turtles II|1991|78656813|NL
828|A.I. Artificial Intelligence|2001|78616689|WB
829|Cocktail|1988|78222753|BV
830|We Were Soldiers|2002|78122718|Par.
831|Tower Heist|2011|78046570|Uni.
832|The Monuments Men|2014|78031620|Sony
833|Hooper|1978|78000000|WB
834|Man on Fire|2004|77911774|Fox
835|The Terminal|2004|77872883|DW
836|Backdraft|1991|77868585|Uni.
837|Gangs of New York|2002|77812000|Mira.
838|Free Willy|1993|77698625|WB
839|The Adventures of Tintin|2011|77591831|Par.
840|Philadelphia|1993|77446440|TriS
841|March of the Penguins|2005|77437223|WIP
842|Parental Guidance|2012|77267296|Fox
843|Where the Wild Things Are|2009|77233467|WB
844|The A-Team|2010|77222099|Fox
845|U-571|2000|77122415|Uni.
846|27 Dresses|2008|76808654|Fox
847|Training Day|2001|76631907|WB
848|Poltergeist|1982|76606280|MGM
849|Father of the Bride Part II|1995|76594107|BV
850|Romancing the Stone|1984|76572238|Fox
851|Rugrats in Paris: The Movie|2000|76507756|Par.
852|Star Trek III: The Search for Spock|1984|76471046|Par.
853|Knight & Day|2010|76423035|Fox
854|Fantasia|1941|76408097|Dis.
855|The Untouchables|1987|76270454|Par.
856|White Men Can't Jump|1992|76253806|Fox
857|The Ring Two|2005|76231249|DW
858|Cocoon|1985|76113124|Fox
859|Hellboy II: The Golden Army|2008|75986503|Uni.
860|Conspiracy Theory|1997|75982834|WB
861|Constantine|2005|75976178|WB
862|The Jewel of the Nile|1985|75973200|Fox
863|The Haunted Mansion|2003|75847266|BV
864|The Family Man|2000|75793305|Uni.
865|Barbershop|2002|75782105|MGM
866|Star Trek: Generations|1994|75671125|Par.
867|Contagion|2011|75658097|WB
868|You, Me and Dupree|2006|75628110|Uni.
869|We Bought a Zoo|2011|75624550|Fox
870|2 Guns|2013|75612460|Uni.
871|Braveheart|1995|75609945|Par.
872|Moneyball|2011|75605492|Sony
873|The Rookie|2002|75600072|BV
874|Zombieland|2009|75590286|Sony
875|Old School|2003|75585093|DW
876|Any Given Sunday|1999|75530832|WB
877|The Last of the Mohicans|1992|75505856|Fox
878|The Horse Whisperer|1998|75383563|BV
879|Garfield: The Movie|2004|75369589|Fox
880|Ray|2004|75331600|Uni.
881|Coraline|2009|75286229|Focus
882|Tim Burton's The Nightmare Before Christmas|1993|75082668|BV
883|The Exorcism of Emily Rose|2005|75072454|SGem
884|Eragon|2006|75030163|Fox
885|Star Trek VI: The Undiscovered Country|1991|74888996|Par.
886|10|1979|74865517|WB
887|The Prince of Tides|1991|74787599|Col.
888|Ladder 49|2004|74541707|BV
889|Four Brothers|2005|74494381|Par.
890|Six Days, Seven Nights|1998|74339294|BV
891|No Country for Old Men|2007|74283625|Mira.
892|Paddington|2015|74209261|W/Dim.
893|Jack and Jill|2011|74158157|Sony
894|Oliver & Company|1988|74151346|BV
895|Sin City|2005|74103820|Dim.
896|Along Came a Spider|2001|74078174|Par.
897|Ben-Hur|1959|74000000|MGM
898|Hugo|2011|73864507|Par.
899|Christmas with the Kranks|2004|73780539|SonR
900|Beetlejuice|1988|73707461|WB
901|The Jerk|1979|73691419|Uni.
902|Monster House|2006|73661010|Sony
903|Deep Blue Sea|1999|73648142|WB
904|Law Abiding Citizen|2009|73357727|Over.
905|Spirit: Stallion of the Cimarron|2002|73280117|DW
906|Hollow Man|2000|73209340|Sony
907|White House Down|2013|73103784|Sony
908|John Carter|2012|73078100|BV
909|Hotel for Dogs|2009|73034460|P/DW
910|Dinner for Schmucks|2010|73026337|P/DW
911|Justin Bieber: Never Say Never|2011|73013910|Par.
912|Jackass: Number Two|2006|72778712|Par.
913|The Interpreter|2005|72708161|Uni.
914|Hercules (2014)|2014|72688614|Par.
915|Barnyard: The Original Party Animals|2006|72637803|Par.
916|I Know What You Did Last Summer|1997|72586134|Sony
917|Dolphin Tale|2011|72286779|WB
918|Vantage Point|2008|72266306|Sony
919|Ace Ventura: Pet Detective|1994|72217396|WB
920|The Cannonball Run|1981|72179579|Fox
921|Get Shorty|1995|72101622|MGM
922|Michael Jackson's This Is It|2009|72091016|Sony
923|Fred Claus|2007|72006777|WB
924|My Fair Lady|1964|72000000|WB
925|1408|2007|71985628|MGM/W
926|The Purge: Anarchy|2014|71962800|Uni.
927|John Q.|2002|71756802|NL
928|RV|2006|71726025|Sony
929|Mama|2013|71628180|Uni.
930|Ruthless People|1986|71624879|BV
931|Three Men and a Little Lady|1990|71609321|BV
932|Galaxy Quest|1999|71583916|DW
933|Stargate|1994|71567262|MGM
934|Bridget Jones's Diary|2001|71543427|Mira.
935|Grumpier Old Men|1995|71518503|WB
936|The Bridges of Madison County|1995|71516617|WB
937|Chocolat|2000|71509363|Mira.
938|Sideways|2004|71503593|FoxS
939|I Love You, Man|2009|71440011|P/DW
940|Safe Haven|2013|71349120|Rela.
941|Christmas Vacation|1989|71319526|WB
942|Scary Movie 2|2001|71308997|Mira.
943|The Rescuers|1977|71215869|Dis.
944|The Spiderwick Chronicles|2008|71195053|Par.
945|The Score|2001|71107711|Par.
946|Turner & Hooch|1989|71079915|BV
947|The Smurfs 2|2013|71017784|Sony
948|Bird on a Wire|1990|70978012|Uni.
949|Groundhog Day|1993|70906973|Col.
950|Shallow Hal|2001|70839203|Fox
951|White Chicks|2004|70831760|Sony
952|Broken Arrow (1996)|1996|70770147|Fox
953|Any Which Way You Can|1980|70687344|WB
954|No Strings Attached|2011|70662220|Par.
955|All the President's Men|1976|70600000|WB
956|The Best Man Holiday|2013|70525195|Uni.
957|V for Vendetta|2006|70511035|WB
958|Mortal Kombat|1995|70454098|NL
959|JFK|1991|70405498|WB
960|Shaft|2000|70334258|Par.
961|Moonraker|1979|70308099|MGM
962|World Trade Center|2006|70278893|Par.
963|Rocky Balboa|2006|70270943|MGM
964|Fool's Gold|2008|70231041|WB
965|Star Trek: Insurrection|1998|70187658|Par.
966|Grumpy Old Men|1993|70172621|WB
967|Big Momma's House 2|2006|70165972|Fox
968|Ferris Bueller's Day Off|1986|70136369|Par.
969|The Golden Compass|2007|70107728|NL
970|Kill Bill Vol. 1|2003|70099045|Mira.
971|Blade|1998|70087718|NL
972|Boomerang|1992|70052444|Par.
973|Act of Valor|2012|70012847|Rela.
974|Born on the Fourth of July|1989|70001698|Uni.
975|Seven Pounds|2008|69951824|Sony
976|Private Benjamin|1980|69847348|WB
977|Splash|1984|69821334|BV
978|Swordfish|2001|69772969|WB
979|The Best Little Whorehouse in Texas|1982|69701637|Uni.
980|Disney's The Kid|2000|69691949|BV
981|Nine Months|1995|69684532|Fox
982|Divine Secrets of the Ya-Ya Sisterhood|2002|69599016|WB
983|Hot Shots!|1991|69467617|Fox
984|The Thomas Crown Affair|1999|69305181|MGM
985|Vertical Limit|2000|69243859|Sony
986|Lost in Space|1998|69117629|NL
987|Guess Who|2005|68915888|Sony
988|Cool Runnings|1993|68856263|BV
989|Witness|1985|68706993|Par.
990|Sahara|2005|68671925|Par.
991|Percy Jackson: Sea of Monsters|2013|68559554|Fox
992|Road Trip|2000|68540777|DW
993|Blue Streak|1999|68518533|Sony
994|Purple Rain|1984|68392977|WB
995|Bring It On|2000|68379000|Uni.
996|Obsessed|2009|68261644|SGem
997|Mr. Popper's Penguins|2011|68224452|Fox
998|Octopussy|1983|67893619|MGM
999|Outbreak|1995|67659560|WB
1000|Sudden Impact|1983|67642693|WB
1001|A Perfect Murder|1998|67638368|WB
1002|The Tourist|2010|67631157|Sony
1003|This Is 40|2012|67544505|Uni.
1004|Heat|1995|67436818|WB
1005|Holes|2003|67406573|BV
1006|Insomnia|2002|67355513|WB
1007|A Good Day to Die Hard|2013|67349198|Fox
1008|Hidalgo|2004|67303450|BV
1009|Role Models|2008|67294270|Uni.
1010|Coach Carter|2005|67264877|Par.
1011|Coal Miner's Daughter|1980|67182787|Uni.
1012|Race to Witch Mountain|2009|67172594|BV
1013|The Forgotten|2004|67133509|SonR
1014|Dante's Peak|1997|67127760|Uni.
1015|The Bounty Hunter|2010|67061228|Sony
1016|Waiting to Exhale|1995|67052156|Fox
1017|The Secret of My Success|1987|66995879|Uni.
1018|102 Dalmatians|2000|66957026|BV
1019|Alexander and the Terrible, Horrible, No Good, Very Bad Day|2014|66954149|BV
1020|Kangaroo Jack|2003|66934963|WB
1021|End of Days|1999|66889043|Uni.
1022|The Mexican|2001|66845033|DW
1023|Changing Lanes|2002|66818548|Par.
1024|Big Fish|2003|66809693|Sony
1025|Uncle Buck|1989|66758538|Uni.
1026|The Godfather Part III|1990|66666062|Par.
1027|Charlie Wilson's War|2007|66661095|Uni.
1028|Legends of the Fall|1994|66638883|Sony
1029|Contraband|2012|66528000|Uni.
1030|The Bone Collector|1999|66518655|Uni.
1031|Looper|2012|66486205|TriS
1032|The Final Destination|2009|66477700|WB (NL)
1033|The League of Extraordinary Gentlemen|2003|66465204|Fox
1034|Bowfinger|1999|66384775|Uni.
1035|Warm Bodies|2013|66380662|LG/S
1036|The Parent Trap|1998|66308518|BV
1037|Kill Bill Vol. 2|2004|66208183|Mira.
1038|Smokey and the Bandit II|1980|66132626|Uni.
1039|Herbie: Fully Loaded|2005|66023816|BV
1040|What's Up, Doc?|1972|66000000|WB
1041|The Manchurian Candidate|2004|65955630|Par.
1042|Anaconda|1997|65885767|Sony
1043|Bad Boys|1995|65807024|Sony
1044|Ever After: A Cinderella Story|1998|65705771|Fox
1045|Stakeout|1987|65673233|BV
1046|Lara Croft Tomb Raider: The Cradle of Life|2003|65660196|Par.
1047|Tyler Perry's Madea's Witness Protection|2012|65653242|LGF
1048|Deuce Bigalow: Male Gigolo|1999|65538755|BV
1049|The Ten Commandments|1956|65500000|Par.
1050|The Taking of Pelham 1 2 3|2009|65452312|Sony
1051|Battleship|2012|65422625|Uni.
1052|Step Up|2006|65328121|BV
1053|Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour|2008|65281781|BV
1054|The Amityville Horror (2005)|2005|65233369|MGM
1055|Lethal Weapon|1987|65207127|WB
1056|The Muppet Movie|1979|65200000|AFD
1057|Jack the Giant Slayer|2013|65187603|WB (NL)
1058|Think Like a Man Too|2014|65182182|SGem
1059|Barbershop 2: Back in Business|2004|65111277|MGM
1060|About Schmidt|2002|65016287|NL
1061|Exodus: Gods and Kings|2014|65014513|Fox
1062|Wolf|1994|65002597|Col.
1063|Friday the 13th (2009)|2009|65002019|WB (NL)
1064|Pitch Perfect|2012|65001093|Uni.
1065|Stuart Little 2|2002|64956806|Sony
1066|Mirror Mirror|2012|64935167|Rela.
1067|Staying Alive|1983|64892670|Par.
1068|Mr. Mom|1983|64783827|Fox
1069|Flushed Away|2006|64665672|P/DW
1070|L.A. Confidential|1997|64616940|WB
1071|Chronicle (2012)|2012|64575175|Fox
1072|The Happening|2008|64506874|Fox
1073|The Purge|2013|64473115|Uni.
1074|Field of Dreams|1989|64431625|Uni.
1075|Miracle|2004|64378093|BV
1076|Jackass: The Movie|2002|64255312|Par.
1077|The Nut Job|2014|64251541|ORF
1078|The Wedding Ringer|2015|64208820|SGem
1079|Down to Earth|2001|64186502|Par.
1080|17 Again|2009|64167069|WB (NL)
1081|Deja Vu|2006|64038616|BV
1082|Happy Feet Two|2011|64006466|WB
1083|Diary of a Wimpy Kid|2010|64003625|Fox
1084|Dirty Dancing|1987|63954274|Vest
1085|Sky High|2005|63946815|BV
1086|Last Vegas|2013|63914167|CBS
1087|Life|1999|63886029|Uni.
1088|Mona Lisa Smile|2003|63860942|SonR
1089|In & Out|1997|63856929|Par.
1090|The Fifth Element|1997|63820180|Sony
1091|Working Girl|1988|63779477|Fox
1092|The Witches of Eastwick|1987|63766510|WB
1093|What About Bob?|1991|63707829|BV
1094|Unknown|2011|63686397|WB
1095|Babe|1995|63658910|Uni.
1096|Thunderball|1965|63595658|UA
1097|Risky Business|1983|63541777|WB
1098|Hope Springs|2012|63536011|Sony
1099|The Fox and the Hound|1981|63456988|BV
1100|Miami Vice|2006|63450470|Uni.
1101|The Time Traveler's Wife|2009|63414846|WB (NL)
1102|Tango & Cash|1989|63408614|WB
1103|She's All That|1999|63366989|Mira.
1104|Bewitched|2005|63313159|Sony
1105|Saw IV|2007|63300095|LGF
1106|Dave|1993|63270710|WB
1107|Tyler Perry's Madea's Family Reunion|2006|63257940|LGF
1108|The Holiday|2006|63224849|Sony
1109|Rising Sun|1993|63179523|Fox
1110|Forgetting Sarah Marshall|2008|63172463|Uni.
1111|The Sorcerer's Apprentice|2010|63150991|BV
1112|Beavis and Butt-Head Do America|1996|63118386|Par.
1113|Scent of a Woman|1992|63095253|Uni.
1114|A Nightmare on Elm Street (2010)|2010|63075011|WB (NL)
1115|The Last Song|2010|62950384|BV
1116|Jarhead|2005|62658220|Uni.
1117|The Crying Game|1992|62548947|Mira.
1118|The Fast and the Furious: Tokyo Drift|2006|62514415|Uni.
1119|The Adjustment Bureau|2011|62495645|Uni.
1120|A Fish Called Wanda|1988|62493712|MGM
1121|Spy Game|2001|62362560|Uni.
1122|Underworld Awakening|2012|62321039|SGem
1123|Underworld: Evolution|2006|62318875|SGem
1124|Down and Out in Beverly Hills|1986|62134225|BV
1125|The Wolfman|2010|61979680|Uni.
1126|Mouse Hunt|1997|61917389|DW
1127|The Electric Horseman|1979|61801971|Col.
1128|Patton|1970|61749765|Fox
1129|Ender's Game|2013|61737191|LG/S
1130|Cinderella Man|2005|61649911|Uni.
1131|The Goonies|1985|61503218|WB
1132|Flatliners|1990|61489265|Col.
1133|National Lampoon's Vacation|1983|61399552|WB
1134|The Saint|1997|61363304|Par.
1135|Stomp the Yard|2007|61356221|SGem
1136|Rules of Engagement|2000|61335230|Par.
1137|The Cell|2000|61334059|NL
1138|Misery|1990|61276872|Col.
1139|Friday Night Lights|2004|61255921|Uni.
1140|The Shaggy Dog|2006|61123569|BV
1141|Prisoners|2013|61002302|WB
1142|Get Him to the Greek|2010|60974475|Uni.
1143|The Devil's Advocate|1997|60944660|WB
1144|The Omen|1976|60922980|Fox
1145|Mission to Mars|2000|60883407|BV
1146|Harlem Nights|1989|60864870|Par.
1147|Coyote Ugly|2000|60786269|BV
1148|God's Not Dead|2014|60755732|Free
1149|Poseidon|2006|60674817|WB
1150|Fantasia 2000 (35mm & IMAX)|2000|60655420|BV
1151|Three Kings|1999|60652036|WB
1152|Jingle All the Way|1996|60592389|Fox
1153|Kiss the Girls|1997|60527873|Par.
1154|After Earth|2013|60522097|Sony
1155|Baby Mama|2008|60494212|Uni.
1156|Shanghai Knights|2003|60476872|BV
1157|The Lucky One|2012|60457138|WB
1158|The Wedding Planner|2001|60400856|Sony
1159|Burn After Reading|2008|60355347|Focus
1160|Scrooged|1988|60328558|Par.
1161|The Cable Guy|1996|60240295|Sony
1162|Resident Evil: Afterlife|2010|60128566|SGem
1163|Tyler Perry's Why Did I Get Married Too?|2010|60095852|LGF
1164|Spies Like Us|1985|60088980|WB
1165|The American President|1995|60079496|Sony
1166|Species|1995|60074103|MGM
1167|The Family Stone|2005|60062868|Fox
1168|Bad Santa|2003|60060328|Dim.
1169|Bruno|2009|60054530|Uni.
1170|Hope Floats|1998|60053195|Fox
1171|Tooth Fairy|2010|60022256|Fox
1172|Snow Day|2000|60020107|Par.
1173|The Good Shepherd|2006|59952835|Uni.
1174|Superman III|1983|59950623|WB
1175|Jungle 2 Jungle|1997|59927618|BV
1176|Little Miss Sunshine|2006|59891098|FoxS
1177|The Benchwarmers|2006|59843754|SonR
1178|Predator|1987|59735548|Fox
1179|Secretariat|2010|59713955|BV
1180|Son of God|2014|59700064|Fox
1181|Love Actually|2003|59696144|Uni.
1182|Gothika|2003|59694580|WB
1183|The Dictator|2012|59650222|Par.
1184|Hellboy|2004|59623958|SonR
1185|The Last Boy Scout|1991|59509925|WB
1186|My Girl|1991|59489799|Col.
1187|The Stepford Wives|2004|59484742|Par.
1188|Planes: Fire & Rescue|2014|59165787|BV
1189|The Grand Budapest Hotel|2014|59100318|FoxS
1190|Courage Under Fire|1996|59031057|Fox
1191|Dawn of the Dead|2004|59020957|Uni.
1192|Chariots of Fire|1981|58972904|Col.
1193|Far and Away|1992|58883840|Uni.
1194|Total Recall (2012)|2012|58877969|Sony
1195|Surf's Up|2007|58867694|Sony
1196|Behind Enemy Lines|2001|58856790|Fox
1197|The Blue Lagoon|1980|58853106|Col.
1198|Bride Wars|2009|58715510|Fox
1199|Water for Elephants|2011|58709717|Fox
1200|Honey, I Blew Up the Kid|1992|58662452|BV
1201|Little Man|2006|58645052|SonR
1202|Jack|1996|58620973|BV
1203|RoboCop (2014)|2014|58607007|Sony
1204|Sea of Love|1989|58571513|Uni.
1205|Housesitter|1992|58500635|Uni.
1206|Death Becomes Her|1992|58422650|Uni.
1207|Anastasia|1997|58406347|Fox
1208|Easy A|2010|58401464|SGem
1209|Curious George|2006|58360760|Uni.
1210|Open Range|2003|58331254|BV
1211|Halloween (2007)|2007|58272029|MGM/W
1212|The Secret Life of Walter Mitty|2013|58236838|Fox
1213|Bicentennial Man|1999|58223861|BV
1214|Ali|2001|58203105|Sony
1215|Without a Paddle|2004|58169327|Par.
1216|Demolition Man|1993|58055768|WB
1217|Step Up 2 the Streets|2008|58017783|BV
1218|The Lincoln Lawyer|2011|58009200|LGF
1219|The Butterfly Effect|2004|57938693|NL
1220|Throw Momma From the Train|1987|57915972|Orion
1221|Red Eye|2005|57891803|DW
1222|Shall We Dance|2004|57890460|Mira.
1223|Invincible|2006|57806952|BV
1224|Cleopatra (1963)|1963|57777778|Fox
1225|The Chronicles of Riddick|2004|57761012|Uni.
1226|Takers|2010|57744720|SGem
1227|The Animal|2001|57743062|SonR
1228|Life Is Beautiful|1998|57563264|Mira.
1229|The Cider House Rules|1999|57545092|Mira.
1230|Boyz N the Hood|1991|57504069|Col.
1231|Memoirs of a Geisha|2005|57490508|Sony
1232|Pet Sematary|1989|57469467|Par.
1233|Dragnet|1987|57387516|Uni.
1234|Moulin Rouge!|2001|57386607|Fox
1235|Blood Diamond|2006|57377916|WB
1236|The Specialist|1994|57362582|WB
1237|Next Friday|2000|57328603|NL
1238|Sister Act 2: Back in the Habit|1993|57319029|BV
1239|Willow|1988|57269863|MGM
1240|The Whole Nine Yards|2000|57262492|WB
1241|13 Going on 30|2004|57231747|SonR
1242|The Blues Brothers|1980|57229890|Uni.
1243|U.S. Marshals|1998|57167405|WB
1244|12 Monkeys|1995|57141459|Uni.
1245|Unlawful Entry|1992|57138719|Fox
1246|Beethoven|1992|57114049|Uni.
1247|Annie|1982|57059003|Col.
1248|Beaches|1988|57041866|BV
1249|Escape From Planet Earth|2013|57012977|Wein.
1250|American Reunion|2012|57011521|Uni.
1251|The Man in the Iron Mask|1998|56968902|MGM
1252|2001: A Space Odyssey|1968|56954992|MGM
1253|Shanghai Noon|2000|56937502|BV
1254|The Time Machine|2002|56832494|DW
1255|Midnight in Paris|2011|56817045|SPC
1256|Saw V|2008|56746769|LGF
1257|A Civil Action|1998|56709981|BV
